time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,4.872997857111227e-08,3.9413890810980916e-07,10.007662486863115,0.0002994833685878717,6.283127478487156,0.0,5.147732551581803e-06,3.3747897204562876e-05,0.2553934817853242,0.013464024232537229,-0.0029648647741455656,0.0,483.8108461719747,483.5876282919622,483.19517635339326,484.2088724240234
0.12000000000000001,2.8067558801479678e-06,1.4860046207376528e-05,10.032755496954952,0.0012130055824499664,6.282544100728135,0.0,0.0001307819587743253,0.0005652345876566555,0.5809320226230975,0.018533762026718296,-0.028802189289081438,0.0,505.30294304793995,503.43731694742485,502.4655607985128,502.83277185747164
0.18,3.1363707485511186e-05,7.951083151646018e-05,10.071423501735394,0.0025788822958245916,6.280697264757398,0.0,0.0010101821486573621,0.0017222070754476459,0.7079304368026273,0.030108943978075453,-0.03506333992398965,0.0,446.14762052917104,445.63587178632395,445.1428258802501,446.08893331017435
0.23999999999999996,0.00014408998390317505,0.00023552145435986466,10.114341649182396,0.004283265014566773,6.278546195816816,0.0,0.0029374444129009677,0.0036352359971650312,0.7226640465640152,0.024763744041079234,-0.03747485462068492,0.0,408.99398884363416,408.77848613473316,410.31363205114957,409.8391816769276
0.3,0.0004312431469334308,0.0005537583109915657,10.16202862436691,0.00559205372516125,6.276520939636331,0.0,0.0068648103101174324,0.007124703662261116,0.8668011833486483,0.015140927117771808,-0.027195144569339882,0.0,450.9647891756868,451.7937929237054,451.5025889013537,450.72567466688054
0.36000000000000004,0.001022423683005227,0.0011305338799244267,10.222229717169949,0.006789541597421511,6.274322235951804,0.0,0.013061550339242837,0.012235950706425523,1.1396679591139578,0.028175958367574763,-0.07308638591312466,0.0,490.91630886827096,487.49869801697986,489.25481532736313,490.2241676323614
0.4200000000000001,0.002028296686044461,0.0020288680018846245,10.29598022757634,0.007923780445877604,6.270404679530671,0.0,0.02093378953862585,0.017885854259773248,1.3184870034081693,-0.01563205755450367,-0.053055368340395856,0.0,462.07477708273336,463.64790110468584,463.9525830896175,460.5006119206904
0.48000000000000015,0.0035745295974313122,0.003270540072228026,10.379168101667066,0.006565538924637515,6.267588594609414,0.0,0.03092463412818893,0.023385314430520426,1.4542753726475537,-0.042793558188799714,-0.03687798678643336,0.0,448.63306545209105,449.94317171709736,451.5280689572363,449.3315653033306
0.5400000000000001,0.005744201302823637,0.0047933096861874445,10.46839254195971,0.004148079291758755,6.265014795457109,0.0,0.04162429925991922,0.02713198182216862,1.5197850359072254,-0.03570578208172834,-0.05901217614055415,0.0,429.2424573405898,427.35888466587846,427.3295924997002,427.93237385091885
0.6000000000000002,0.008710814053134702,0.006514631015374368,10.566849365733127,0.001729955023059837,6.261629611307221,0.0,0.05768172374421239,0.029966167337502087,1.7617606665381589,-0.05159596584511169,-0.051684319549764116,0.0,481.8423393696936,482.3940340748448,482.66483865111104,481.46345986793773
0.6600000000000003,0.012653422208844743,0.008337867457749828,10.676678490533378,6.281923539980442,6.258851840384898,0.0,0.07404776458941517,0.03048107929417192,1.8989849314765919,-0.04660309043014673,-0.03725747540148317,0.0,451.29324935897966,452.4548624070276,451.1559569936039,451.5573523989704
0.7200000000000003,0.01748668770354246,0.010138549336529445,10.78873069204852,6.278946283802725,6.256483434850011,0.0,0.08724252960264518,0.02931713715863604,1.8361863755443488,-0.05646468211347113,-0.04431968031380714,0.0,384.84991343136545,384.1798436000416,387.20874224836626,386.27795851059034
0.7800000000000004,0.023215176377914933,0.011809508967521792,10.899402903675742,6.275025063160879,6.2537280722320165,0.0,0.10394871872879827,0.026065885662103175,1.8528512718610108,-0.09642296822551213,-0.04933751522018119,0.0,413.987535883165,413.544387819266,414.19653275337845,410.6632659458231
0.8400000000000004,0.030114914753810795,0.013169453115229423,11.015000428536466,6.268929832921652,6.250698556450022,0.0,0.1263611831421816,0.018623505095897483,2.000136011610008,-0.11468467511634484,-0.05290603000146998,0.0,454.9586027343888,454.6712592968323,456.06466235257176,454.5949325577285
0.9000000000000005,0.03840615963909862,0.013953442410622402,11.138807898018733,6.261875139330645,6.247791560478902,0.0,0.1503264822181726,0.006776034909769702,2.126528638317746,-0.12409769444344984,-0.04076822766068681,0.0,448.98300317134914,449.96517622002625,449.33136855763246,448.55533099502196
0.9600000000000005,0.04816600698478393,0.01389166146958498,11.269384274563,6.253948269746807,6.245303946942592,0.0,0.1752457936324056,-0.009604628767497951,2.2257996373238083,-0.15732247897318308,-0.04288103020723386,0.0,441.95953052934595,441.7844371282041,442.0424534675047,439.2789508438131
1.0200000000000005,0.0595077953054887,0.012647391375760765,11.406821544464416,6.244463632563143,6.24254082596657,0.0,0.20308603925391297,-0.03286867371433694,2.3551387859304693,-0.15962921851022532,-0.05329563706008555,0.0,452.1842383689804,451.3432766582912,450.62671107150265,450.4168773436986
1.0800000000000005,0.07259784582263411,0.009786802548402876,11.552395201221849,6.234743312118054,6.239182981593851,0.0,0.23358989177134795,-0.06351452482539331,2.4969544089943914,-0.1672324782757202,-0.06191817500704788,0.0,455.17890232533307,454.4862887606344,456.7625109181997,456.1314719515389
1.1400000000000006,0.08761703039066703,0.0048463313549990655,11.70698911845444,6.224435745559095,6.235029623363026,0.0,0.26746082965071954,-0.10227183174615662,2.6557362354255605,-0.18295936168654223,-0.09074696364844947,0.0,463.49374185956566,461.21874027357046,461.4417389164723,460.1711223308981
